id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match
174,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Venkatesh Iyer
175,2010,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0,5,Axar Patel
176,2010,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Andre Russell
177,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,12,0,Ravindra Jadeja
178,2010,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,0,6,David Warner
179,2010,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,33,0,Yuzvendra Chahal
180,2010,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0,2,Hardik Pandya
181,2011,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,0,6,Sunil Narine
182,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,20,0,Glenn Maxwell
183,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,30,0,AB de Villiers
184,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,0,8,Trent Boult
185,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,0,5,Rashid Khan
186,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0,8,Anrich Nortje
187,2011,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,14,0,Kieron Pollard
188,2011,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0,8,Trent Boult
189,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,0,3,Dinesh Karthik
190,2011,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,11,0,Kieron Pollard
191,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,7,0,Glenn Maxwell
192,2011,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,0,5,Hardik Pandya
193,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,17,0,Kane Williamson
194,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,4,0,Virat Kohli
195,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,82,0,David Warner
196,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,Kane Williamson
197,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,0,5,David Warner
198,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0,3,Ravindra Jadeja
199,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,11,0,Ben Stokes
200,2011,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,5,0,Sunil Narine
201,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,16,0,Yuzvendra Chahal
202,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,7,0,Mohammed Shami
203,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,39,0,Mohammed Siraj
204,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,36,0,Kane Williamson
205,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0,1,Prithvi Shaw
206,2011,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,16,0,Sanju Samson
207,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,19,0,Faf du Plessis
208,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,4,0,Ravindra Jadeja
209,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,0,9,Sunil Narine
210,2011,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,0,7,Jos Buttler
211,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,0,4,Nicholas Pooran
212,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,0,7,Dinesh Karthik
213,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,15,0,Jonny Bairstow
214,2011,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,0,1,Suryakumar Yadav
215,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,6,0,Sanju Samson
216,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Rashid Khan
217,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,2,0,Mohammed Siraj
218,2011,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,60,0,Rohit Sharma
219,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,40,0,Kane Williamson
220,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,0,7,Anrich Nortje
221,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,15,0,Pat Cummins
222,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,0,3,Rashid Khan
223,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,14,0,Prithvi Shaw
224,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,0,1,Mohammed Shami
225,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,7,Rishabh Pant
226,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,0,3,Rishabh Pant
227,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,0,3,Nicholas Pooran
228,2011,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,88,0,Nicholas Pooran
229,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,15,0,AB de Villiers
230,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0,5,MS Dhoni
231,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,0,2,Axar Patel
232,2011,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,13,0,Yuzvendra Chahal
233,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,92,0,Ambati Rayudu
234,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,19,0,David Warner
235,2011,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,6,Rohit Sharma
236,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,9,Pat Cummins
237,2011,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,0,8,Yuzvendra Chahal
238,2011,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,0,David Warner
239,2011,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0,6,Ravindra Jadeja
240,2011,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,5,0,Trent Boult
241,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,8,0,Ravindra Jadeja
242,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bangalore,0,5,Virat Kohli
243,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,7,0,Trent Boult
244,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Bhuvneshwar Kumar
245,2012,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,13,0,Deepak Chahar
246,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Punjab Kings,0,3,Mohammed Shami
247,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Bhuvneshwar Kumar
248,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,3,Ravindra Jadeja
249,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,0,8,Jonny Bairstow
250,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,4,0,Dinesh Karthik
251,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,8,Mohammed Shami
252,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,48,0,Prithvi Shaw
253,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,9,Trent Boult
254,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,5,0,Mohammed Siraj
255,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,0,9,Ben Stokes
256,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,22,0,Rashid Khan
257,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,59,0,Hardik Pandya
258,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,5,Mohammed Shami
259,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,68,0,Bhuvneshwar Kumar
260,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Jonny Bairstow
261,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,23,0,Axar Patel
262,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,1,Ravindra Jadeja
263,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,0,8,Nicholas Pooran
264,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,40,0,Hardik Pandya
265,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0,5,Ben Stokes
266,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0,5,Chris Gayle
267,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,27,0,Venkatesh Iyer
268,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,0,1,Prithvi Shaw
269,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,17,0,Bhuvneshwar Kumar
270,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Chennai Super Kings,8,0,Faf du Plessis
271,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,1,Jasprit Bumrah
272,2012,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,14,0,MS Dhoni
273,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,68,0,Glenn Maxwell
274,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,20,0,Kane Williamson
275,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,11,0,Deepak Chahar
276,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,8,0,Jonny Bairstow
277,2012,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,23,0,Ambati Rayudu
278,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,3,Faf du Plessis
279,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,10,0,Bhuvneshwar Kumar
280,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Kolkata Knight Riders,34,0,Andre Russell
281,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,0,1,Kane Williamson
282,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0,1,Prithvi Shaw
283,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,0,3,Prithvi Shaw
284,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,4,Trent Boult
285,2012,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,9,0,Faf du Plessis
286,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,0,8,Trent Boult
287,2012,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,0,9,Kieron Pollard
288,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,8,Ambati Rayudu
289,2012,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,0,8,Deepak Chahar
290,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,100,0,Hardik Pandya
291,2012,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,75,0,Rishabh Pant
292,2012,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,0,7,Glenn Maxwell
293,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,Mohammed Siraj
294,2012,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0,9,Deepak Chahar
295,2012,Kolkata,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,104,0,Glenn Maxwell
296,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,57,0,Mayank Agarwal
297,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,12,0,Virat Kohli
298,2012,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,0,1,Rohit Sharma
299,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,99,0,Mohammed Shami
300,2012,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,0,6,Ravindra Jadeja
301,2013,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,0,5,Rashid Khan
302,2013,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0,7,Prithvi Shaw
303,2013,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,10,0,Rashid Khan
304,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Royal Challengers Bangalore,0,8,AB de Villiers
305,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,14,0,Jasprit Bumrah
306,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,0,2,Ben Stokes
307,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,19,0,Venkatesh Iyer
308,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,57,0,Hardik Pandya
309,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,8,Sanju Samson
310,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,Shubman Gill
311,2013,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,8,Anrich Nortje
312,2013,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,13,0,Faf du Plessis
313,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,7,Kieron Pollard
314,2013,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,0,9,Anrich Nortje
315,2013,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,47,0,Bhuvneshwar Kumar
316,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,3,0,MS Dhoni
317,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,106,0,Hardik Pandya
318,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,81,0,Virat Kohli
319,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,1,Rishabh Pant
320,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0,7,Trent Boult
321,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,28,0,Dinesh Karthik
322,2013,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,10,0,Rishabh Pant
323,2013,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,1,David Warner
324,2013,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,20,0,MS Dhoni
325,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,18,0,Suryakumar Yadav
326,2013,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,0,1,Prithvi Shaw
327,2013,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Chennai Super Kings,0,3,Ravindra Jadeja
328,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,0,6,Trent Boult
329,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,30,0,Sanju Samson
330,2013,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,3,0,Faf du Plessis
331,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,43,0,Suryakumar Yadav
332,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,19,0,Shubman Gill
333,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,25,0,Pat Cummins
334,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,43,0,Virat Kohli
335,2013,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,38,0,Rohit Sharma
336,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,4,0,Kieron Pollard
337,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,0,6,Kieron Pollard
338,2013,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,49,0,Trent Boult
339,2013,Delhi,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5,Shubman Gill
340,2013,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,30,0,Mohammed Shami
341,2013,Bangalore,Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,18,0,Sunil Narine
342,2013,Chandigarh,Punjab Cricket Association Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0,7,KL Rahul
343,2013,Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,24,0,Rashid Khan
344,2013,Kolkata,Eden Gardens,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Royal Challengers Bangalore,0,6,Mohammed Siraj
